GROQ_PRE|1|200|1.086707
GEM_PRE|1|200|2.879903
CF_PRE|1|200|3.546856
GROQ_PRE|2|200|1.006243
GEM_PRE|2|200|2.793432
CF_PRE|2|200|7.311367
GROQ_PRE|3|200|1.032737
GEM_PRE|3|200|2.716098
CF_PRE|3|200|1.969723
GROQ_PRE|4|200|0.963696
GEM_PRE|4|200|2.735508
CF_PRE|4|200|2.299066
GROQ_PRE|5|200|0.931213
GEM_PRE|5|200|2.755665
CF_PRE|5|200|2.709449
GROQ_PRE|6|200|1.043252
GEM_PRE|6|200|2.960360
CF_PRE|6|200|2.094203
GROQ_PRE|7|200|0.935318
GEM_PRE|7|200|2.688054
CF_PRE|7|200|2.008199
GROQ_PRE|8|200|0.912609
GEM_PRE|8|200|2.787447
CF_PRE|8|200|2.000797
GROQ_PRE|9|200|0.988506
GEM_PRE|9|200|2.938160
CF_PRE|9|200|2.573956
GROQ_PRE|10|200|1.072542
GEM_PRE|10|200|2.731725
CF_PRE|10|200|2.038623
